landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Empire State Realty Trust,Empire State Building,350 Fifth Avenue,"Whitebox space; Full floor; available 01-01-2027. At Empire State Building, 350 Fifth Avenue.",Office,Entire,25147,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/empire-state-building-30-floor-ste-3000p/,2026-07-21T02:38:01Z,,40.748441,-73.985656,https://www.esrtreit.com/wp-content/uploads/iStock-611301950-scaled.jpg
Empire State Realty Trust,Empire State Building,350 Fifth Avenue,"Whitebox space; Full floor; available Immediate. At Empire State Building, 350 Fifth Avenue.",Office,Entire,20375,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/empire-state-building-41-floor-ste-4100/,2026-07-21T02:38:01Z,,40.748441,-73.985656,https://esrtreit.bynder.com/asset/664be9a4-6ec6-4870-95c9-85a5bf304e86/thumbnail/webimage-ESB-4100
Empire State Realty Trust,Empire State Building,350 Fifth Avenue,"Prebuilt space; available Immediate. At Empire State Building, 350 Fifth Avenue.",Office,Suite 4300,5621,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/empire-state-building-43-floor-ste-4300/,2026-07-21T02:38:01Z,,40.748441,-73.985656,https://esrtreit.bynder.com/asset/abc8ca20-817a-4944-acb5-e03c185815ad/thumbnail/webimage-ESB-4300
Empire State Realty Trust,One Grand Central Place,60 East 42nd Street,"Whitebox space; Full floor; available Immediate. At One Grand Central Place, 60 East 42nd Street.",Office,Entire,39556,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/one-grand-central-place-05-floor-ste-500/,2026-07-21T02:38:01Z,,40.752114,-73.978769,https://esrtreit.bynder.com/m/7fa0353bfc99b8a2/webimage-ogcp-500p.png
Empire State Realty Trust,One Grand Central Place,60 East 42nd Street,"Prebuilt space; available 10-01-2026. At One Grand Central Place, 60 East 42nd Street.",Office,Suite 1310,2948,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/one-grand-central-place-13-floor-ste-1310/,2026-07-21T02:38:01Z,,40.752114,-73.978769,https://www.esrtreit.com/wp-content/uploads/shoootin-photo-5_2-scaled.jpg
Empire State Realty Trust,One Grand Central Place,60 East 42nd Street,"Prebuilt space; available Immediate. At One Grand Central Place, 60 East 42nd Street.",Office,Suite 1320,5772,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/one-grand-central-place-13-floor-ste-1320/,2026-07-21T02:38:01Z,,40.752114,-73.978769,https://esrtreit.bynder.com/m/54ca662323ebdac5/webimage-ogcp-1320.png
Empire State Realty Trust,130 Mercer,130 Mercer,"Full Floor space; Full floor; available Immediate. At 130 Mercer, 130 Mercer.",Office,Entire,37258,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/130-mercer-street-4-floor-ste-400/,2026-07-21T02:38:01Z,,40.724106,-73.998508,https://esrtreit.bynder.com/m/5de7eba7f9f6cfda/webimage-130M-400.png
Empire State Realty Trust,130 Mercer,130 Mercer,"Full Floor space; Full floor; available Immediate. At 130 Mercer, 130 Mercer.",Office,Entire,37258,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/130-mercer-street-5-floor-ste-500/,2026-07-21T02:38:01Z,,40.724106,-73.998508,https://esrtreit.bynder.com/m/7ec36e3c844acdfb/webimage-130M-500.png
Empire State Realty Trust,111 West 33rd Street,111 West 33rd Street,"Existing Installation space; available 11-01-2026. At 111 West 33rd Street, 111 West 33rd Street.",Office,Suite 1520P,2884,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/111-west-33rd-street-15-floor-ste-1520p/,2026-07-21T02:38:01Z,,40.749814,-73.989081,https://www.esrtreit.com/wp-content/uploads/111-33rd-street-exterior-scaled.jpg
Empire State Realty Trust,111 West 33rd Street,111 West 33rd Street,"Full Floor space; Full floor; available 01-01-2028. At 111 West 33rd Street, 111 West 33rd Street.",Office,Entire,28914,Upon request,Book a tour,,,,https://www.esrtreit.com/spaces/111-west-33rd-street-17-floor-ste-1700/,2026-07-21T02:38:01Z,,40.749814,-73.989081,https://www.esrtreit.com/wp-content/uploads/111-33rd-street-exterior-scaled.jpg
