landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 40 (To be delivered demolished),42435,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 39 (To be delivered demolished),42435,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 38 (To be delivered demolished),42428,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 37 (To be delivered demolished),42448,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 36 (To be delivered demolished),42441,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 35 (To be delivered demolished),40869,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 34 (To be delivered demolished),40869,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 33 (To be delivered demolished),41478,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 32 (To be delivered demolished),41500,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 31 (To be delivered demolished),41522,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 30 (To be delivered demolished),41464,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 29 (To be delivered demolished),41512,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 28 (To be delivered demolished),41491,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 27 (To be delivered demolished),41227,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 26 (To be delivered demolished),41386,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 25 (To be delivered demolished),39817,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,1211 Avenue of the Americas,"1211 Avenue of the Americas, New York, NY","Office space at 1211 Avenue of the Americas, New York.",Office,Floor 24 (To be delivered demolished),39817,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://1211aofa.com/workspaces/,2026-07-21T17:06:03Z,,40.758673,-73.982357,https://1211aofa.com/wp-content/uploads/2025/09/home-header-mobile-360x675.jpg
RXR Realty,590 Madison Avenue,"590 Madison Avenue, New York, NY","Office space at 590 Madison Avenue, New York.",Office,Partial floor 41 (Pre-built),5919,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://590madison.com/availabilities/,2026-07-21T17:06:16Z,,40.762134,-73.973058,https://590madison.com/wp-content/uploads/2026/02/building-D.webp
RXR Realty,590 Madison Avenue,"590 Madison Avenue, New York, NY","Office space at 590 Madison Avenue, New York.",Office,Entire floor 40 (Raw),26189,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://590madison.com/availabilities/,2026-07-21T17:06:16Z,,40.762134,-73.973058,https://590madison.com/wp-content/uploads/2026/02/building-D.webp
RXR Realty,590 Madison Avenue,"590 Madison Avenue, New York, NY","Office space at 590 Madison Avenue, New York.",Office,Partial floor 32 (Pre-built),3013,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://590madison.com/availabilities/,2026-07-21T17:06:16Z,,40.762134,-73.973058,https://590madison.com/wp-content/uploads/2026/02/building-D.webp
RXR Realty,590 Madison Avenue,"590 Madison Avenue, New York, NY","Office space at 590 Madison Avenue, New York.",Office,Partial floor 31,17151,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://590madison.com/availabilities/,2026-07-21T17:06:16Z,,40.762134,-73.973058,https://590madison.com/wp-content/uploads/2026/02/building-D.webp
RXR Realty,590 Madison Avenue,"590 Madison Avenue, New York, NY","Office space at 590 Madison Avenue, New York.",Office,Partial floor 27 (Pre-built),2722,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://590madison.com/availabilities/,2026-07-21T17:06:16Z,,40.762134,-73.973058,https://590madison.com/wp-content/uploads/2026/02/building-D.webp
RXR Realty,590 Madison Avenue,"590 Madison Avenue, New York, NY","Office space at 590 Madison Avenue, New York.",Office,Partial floor 27 (Pre-built),3852,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://590madison.com/availabilities/,2026-07-21T17:06:16Z,,40.762134,-73.973058,https://590madison.com/wp-content/uploads/2026/02/building-D.webp
RXR Realty,590 Madison Avenue,"590 Madison Avenue, New York, NY","Office space at 590 Madison Avenue, New York.",Office,Partial floor 27,6207,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://590madison.com/availabilities/,2026-07-21T17:06:16Z,,40.762134,-73.973058,https://590madison.com/wp-content/uploads/2026/02/building-D.webp
RXR Realty,590 Madison Avenue,"590 Madison Avenue, New York, NY","Office space at 590 Madison Avenue, New York.",Office,Entire floor 25 (Raw),25540,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://590madison.com/availabilities/,2026-07-21T17:06:16Z,,40.762134,-73.973058,https://590madison.com/wp-content/uploads/2026/02/building-D.webp
RXR Realty,590 Madison Avenue,"590 Madison Avenue, New York, NY","Office space at 590 Madison Avenue, New York.",Office,Partial floor 21,13597,Upon request,Leasing,Daniel Birney,dbirney@rxr.com,,https://590madison.com/availabilities/,2026-07-21T17:06:16Z,,40.762134,-73.973058,https://590madison.com/wp-content/uploads/2026/02/building-D.webp
