landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Jack Resnick & Sons,110 East 59th Street,110 East 59th Street,"Highly efficient side-core design, 12’ slab to slab ceiling heights Building Standard NBI",Office,Entire 37th Floor,13284,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:24Z,,40.762399,-73.969307,https://resnicknyc.com/wp-content/uploads/2019/07/110_east59th_exterior2.jpg
Jack Resnick & Sons,110 East 59th Street,110 East 59th Street,"Highly efficient side-core design, 11’ slab to slab ceiling heights Building Standard NBI",Office,Entire 35th Floor,13284,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:24Z,,40.762399,-73.969307,https://resnicknyc.com/wp-content/uploads/2019/07/110_east59th_exterior2.jpg
Jack Resnick & Sons,110 East 59th Street,110 East 59th Street,"Highly efficient side-core design, 11’ slab to slab ceiling heights Building Standard NBI",Office,Entire 21st Floor,13284,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:24Z,,40.762399,-73.969307,https://resnicknyc.com/wp-content/uploads/2019/07/110_east59th_exterior2.jpg
Jack Resnick & Sons,133 East 58th Street,133 East 58th Street,NBI Medical or Office,Office,"Partial 14th Floor, Suite 1401",2325,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:27Z,,40.761917,-73.968794,https://resnicknyc.com/wp-content/uploads/2019/07/133_east58th_exterior.jpg
Jack Resnick & Sons,133 East 58th Street,133 East 58th Street,Bright + Spacious Fitness Space Available 21′ Ceilings Multiple Showers & Locker Rooms Private & Open Space perfect for Personal Trainers and Fitness Suites Premier Plaza District Location @ Lex/59th Street Subway,Office,Partial 10th Floor – Suite 1003,5760,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:27Z,,40.761917,-73.968794,https://resnicknyc.com/wp-content/uploads/2019/07/133_east58th_exterior.jpg
Jack Resnick & Sons,133 East 58th Street,133 East 58th Street,NBI Medical or Office,Office,Partial 9th Floor – Suite 912,1726,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:27Z,,40.761917,-73.968794,https://resnicknyc.com/wp-content/uploads/2019/07/133_east58th_exterior.jpg
Jack Resnick & Sons,133 East 58th Street,133 East 58th Street,NBI Medical or Office,Office,Partial 6th Floor – Suite 601,1711,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:27Z,,40.761917,-73.968794,https://resnicknyc.com/wp-content/uploads/2019/07/133_east58th_exterior.jpg
Jack Resnick & Sons,133 East 58th Street,133 East 58th Street,As-Built Medical or Office,Office,"Partial 5th. Floor, Suite 512",1171,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:27Z,,40.761917,-73.968794,https://resnicknyc.com/wp-content/uploads/2019/07/133_east58th_exterior.jpg
Jack Resnick & Sons,133 East 58th Street,133 East 58th Street,NBI Medical or Office,Office,"Partial 4th Floor, Suite 414",665,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:27Z,,40.761917,-73.968794,https://resnicknyc.com/wp-content/uploads/2019/07/133_east58th_exterior.jpg
Jack Resnick & Sons,485 Madison Avenue,485 Madison Avenue,NBI,Office,Entire 14th Floor,14101,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:31Z,,40.758814,-73.974474,https://resnicknyc.com/wp-content/uploads/2019/09/DSC_4640-jpg.webp
